2023-01-22 05:40:35 INFO  Servlet:60 - Servlet.destroy
2023-01-22 05:40:51 INFO  Servlet:22 - Servlet.init
2023-01-22 05:40:51 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:41:11 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-22 05:41:12 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:42:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-22 05:42:57 INFO  AccessFilter:38 - Admin opened one of the admin pages
2023-01-22 05:43:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> addFaculty
2023-01-22 05:43:06 INFO  AccessFilter:38 - Admin opened one of the admin pages
2023-01-22 05:43:08 INFO  Servlet:42 - Servlet.doGet; commandName ==> addFaculty
2023-01-22 05:43:09 INFO  AccessFilter:38 - Admin opened one of the admin pages
2023-01-22 05:43:12 INFO  Servlet:42 - Servlet.doGet; commandName ==> addFaculty
2023-01-22 05:43:17 INFO  AccessFilter:38 - Admin opened one of the admin pages
2023-01-22 05:43:20 INFO  Servlet:42 - Servlet.doGet; commandName ==> addFaculty
2023-01-22 05:43:21 INFO  AccessFilter:38 - Admin opened one of the admin pages
2023-01-22 05:43:24 INFO  Servlet:42 - Servlet.doGet; commandName ==> addFaculty
2023-01-22 05:44:17 INFO  Servlet:22 - Servlet.init
2023-01-22 05:44:17 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:20 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:38 INFO  Servlet:22 - Servlet.init
2023-01-22 05:46:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:40 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:41 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:45 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:47 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:48 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:51 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:46:53 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:47:17 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:47:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 05:47:22 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:35 INFO  Servlet:22 - Servlet.init
2023-01-22 16:18:35 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:39 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:40 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:41 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:42 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:44 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:51 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:55 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:56 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:56 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:57 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:18:57 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:02 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:03 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:05 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:11 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:12 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:14 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:20 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:23 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:29 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:34 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-22 16:19:37 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
